Сценарий;Материал;Пролет;Длина;Высота;Шаг_рам;Террен;w0;Sg;Му2;N_total;N_snow;N_wind;N_roof;Длина_ската;Группа;Профиль;Шаг_мм;K_max;Лимит;Масса_кг
С1: ЛСТК, двускатная, снег 1.5, шаг 1500;lstk;24;72;8;6;B;0.3;1.5;1;2.7049;2.4703;0.0920;0.1425;11.85;MP350 2TPS;2ТПС 200х65х2;1485;0.9746;K;12982.81
С1: ЛСТК, двускатная, снег 1.5, шаг 1500;lstk;24;72;8;6;B;0.3;1.5;1;2.7049;2.4703;0.0920;0.1425;11.85;MP350 2PS;2ПС 245х65х1,5;1320;0.9252;K;13233.60
С1: ЛСТК, двускатная, снег 1.5, шаг 1500;lstk;24;72;8;6;B;0.3;1.5;1;2.7049;2.4703;0.0920;0.1425;11.85;MP350 Z;Z 300х2;1485;0.8674;K;10895.04
С1: ЛСТК, двускатная, снег 1.5, шаг 1500;lstk;24;72;8;6;B;0.3;1.5;1;2.7049;2.4703;0.0920;0.1425;11.85;MP390 2TPS;2ТПС 245х65х1,5;1320;0.9281;K;12432.67
С1: ЛСТК, двускатная, снег 1.5, шаг 1500;lstk;24;72;8;6;B;0.3;1.5;1;2.7049;2.4703;0.0920;0.1425;11.85;MP390 2PS;2ПС 200х65х1,5;1320;0.9679;K;11721.60
С1: ЛСТК, двускатная, снег 1.5, шаг 1500;lstk;24;72;8;6;B;0.3;1.5;1;2.7049;2.4703;0.0920;0.1425;11.85;MP390 Z;Z 250х2;1185;0.9445;K;10860.96
С2: ЛСТК, односкатная, снег 2.4, along-занос;lstk;18;60;6;6;B;0.3;2.4;2.5;10.1620;9.9055;0.0855;0.1710;17.70;MP350 2TPS;— нет решения —;;;;
С2: ЛСТК, односкатная, снег 2.4, along-занос;lstk;18;60;6;6;B;0.3;2.4;2.5;10.1620;9.9055;0.0855;0.1710;17.70;MP350 2PS;— нет решения —;;;;
С2: ЛСТК, односкатная, снег 2.4, along-занос;lstk;18;60;6;6;B;0.3;2.4;2.5;10.1620;9.9055;0.0855;0.1710;17.70;MP350 Z;— нет решения —;;;;
С2: ЛСТК, односкатная, снег 2.4, along-занос;lstk;18;60;6;6;B;0.3;2.4;2.5;10.1620;9.9055;0.0855;0.1710;17.70;MP390 2TPS;— нет решения —;;;;
