Сценарий;Сталь;Категория;Профиль;Шаг_мм;M_design_kNm;K_max;Лимит;Прочность;Прогиб;Срез;Уст_стенки;Гибкость;Кол-во;Масса_кг
С3: Сортовой, двускат 30м, снег 1.8;С255Б;beam_normal;35 Б2;1650;25.86;0.8439;гибкость;0.1470;0.0000;0.0000;0.4988;0.8439;18;74995.20
С3: Сортовой, двускат 30м, снег 1.8;С255Б;beam_wide;25 Ш1;1650;25.63;0.7974;гибкость;0.2249;0.0000;0.0000;0.3376;0.7974;18;66679.20
С3: Сортовой, двускат 30м, снег 1.8;С255Б;beam_column;20 К1;1650;25.51;0.6680;гибкость;0.2750;0.0000;0.0000;0.2941;0.6680;18;62596.80
С3: Сортовой, двускат 30м, снег 1.8;С355Б;beam_normal;35 Б2;1650;25.86;0.8439;гибкость;0.1015;0.0000;0.0000;0.6004;0.8439;18;74995.20
С3: Сортовой, двускат 30м, снег 1.8;С355Б;beam_wide;25 Ш1;1650;25.63;0.7974;гибкость;0.1552;0.0000;0.0000;0.4064;0.7974;18;66679.20
С3: Сортовой, двускат 30м, снег 1.8;С355Б;beam_column;20 К1;1650;25.51;0.6680;гибкость;0.1976;0.0000;0.0000;0.3470;0.6680;18;62596.80
С3: Сортовой, двускат 30м, снег 1.8;С245;square_tube;кв.160х4;1485;22.20;0.7871;прочность;0.7871;0.0000;0.0453;0.0000;0.5266;20;32592.00
С3: Сортовой, двускат 30м, снег 1.8;С245;rect_tube;пр.180х140х4;1650;24.57;0.8405;прочность;0.8405;0.0000;0.0503;0.0000;0.5848;18;29181.60
С3: Сортовой, двускат 30м, снег 1.8;С345;square_tube;кв.140х4;1650;24.47;0.8060;прочность;0.8060;0.0000;0.0403;0.0000;0.6039;18;25704.00
С3: Сортовой, двускат 30м, снег 1.8;С345;rect_tube;пр.160х120х4;1650;24.47;0.7584;прочность;0.7584;0.0000;0.0403;0.0000;0.6831;18;25704.00
С4: Сортовой, across-занос, квадр.труба;С255Б;beam_normal;35 Б2;1475;59.15;0.8439;гибкость;0.3362;0.0000;0.0000;0.4988;0.8439;15;26784.00
С4: Сортовой, across-занос, квадр.труба;С255Б;beam_wide;25 Ш1;1475;58.91;0.7974;гибкость;0.5170;0.0000;0.0000;0.3376;0.7974;15;23814.00
С4: Сортовой, across-занос, квадр.труба;С255Б;beam_column;20 К1;1475;58.80;0.6680;гибкость;0.6338;0.0000;0.0000;0.2941;0.6680;15;22356.00
С4: Сортовой, across-занос, квадр.труба;С355Б;beam_normal;35 Б2;1475;59.15;0.8439;гибкость;0.2320;0.0000;0.0000;0.6004;0.8439;15;26784.00
С4: Сортовой, across-занос, квадр.труба;С355Б;beam_wide;25 Ш1;1475;58.91;0.7974;гибкость;0.3568;0.0000;0.0000;0.4064;0.7974;15;23814.00
С4: Сортовой, across-занос, квадр.труба;С355Б;beam_column;20 К1;1475;58.80;0.6680;гибкость;0.4553;0.0000;0.0000;0.3470;0.6680;15;22356.00
С4: Сортовой, across-занос, квадр.труба;С245;square_tube;кв.200х5;1110;44.20;0.8044;прочность;0.8044;0.0000;0.0580;0.0000;0.4203;19;20588.40
С4: Сортовой, across-занос, квадр.труба;С245;rect_tube;пр.200х160х6;1110;44.30;0.8056;прочность;0.8056;0.0000;0.0540;0.0000;0.5184;19;22230.00
С4: Сортовой, across-занос, квадр.труба;С345;square_tube;кв.200х5;1475;58.31;0.7491;прочность;0.7491;0.0000;0.0540;0.0000;0.4203;15;16254.00
С4: Сортовой, across-занос, квадр.труба;С345;rect_tube;пр.200х120х4;1110;43.85;0.8318;прочность;0.8318;0.0000;0.0563;0.0000;0.5152;19;14911.20
